system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007950537,1187938888890994,0.432,0.385,0.588
1680007950542,1187938891393225,0.315,0.439,0.758
1680007950544,1187938893895379,0.266,0.492,0.63
1680007950545,1187938896397533,0.298,0.368,0.666
1680007950546,1187938898899687,0.141,0.367,0.674
1680007950547,1187938901401763,0.106,0.379,0.655
1680007950549,1187938903903917,0.098,0.323,0.513
1680007950555,1187938906406071,0.109,0.338,0.575
1680007950556,1187938908908302,0.034,0.323,0.527
1680007950557,1187938911410427,0.013,0.335,0.507
1680007950560,1187938913912581,-0.007,0.306,0.392
1680007950562,1187938916414658,0.0,0.264,0.318
1680007950564,1187938918916811,-0.007,0.29,0.434
1680007950568,1187938921418931,-0.069,0.288,0.333
1680007950569,1187938923921162,-0.107,0.311,0.319
1680007950573,1187938926423239,-0.032,0.228,0.216
1680007950575,1187938928925393,-0.12,0.226,0.156
1680007950580,1187938931427494,-0.099,0.211,0.204
1680007950581,1187938933929648,-0.12,0.182,0.089
1680007950582,1187938936431801,-0.14,0.208,0.192
1680007950584,1187938938933955,-0.242,0.192,0.091
1680007950589,1187938941436181,-0.147,0.105,0.043
1680007950590,1187938943938258,-0.262,0.239,-0.071
1680007950593,1187938946440412,-0.255,0.21,-0.103
1680007950594,1187938948942566,-0.275,0.276,-0.244
1680007950597,1187938951444720,-0.281,0.219,-0.127
1680007950599,1187938953946648,-0.274,0.23,-0.172
1680007950602,1187938956449032,-0.24,0.228,-0.272
1680007950605,1187938958951186,-0.265,0.217,-0.228
1680007950607,1187938961453340,-0.216,0.214,-0.244
1680007950611,1187938963955489,-0.277,0.129,-0.439
1680007950612,1187938966457643,-0.283,0.304,-0.238
1680007950614,1187938968959566,-0.331,0.26,-0.282
1680007950618,1187938971461950,-0.324,0.135,-0.381
1680007950619,1187938973964104,-0.29,0.241,-0.384
1680007950622,1187938976466277,-0.275,0.187,-0.4
1680007950624,1187938978968431,-0.418,0.183,-0.347
1680007950628,1187938981470585,-0.247,0.249,-0.322
