system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001707760,1181696113870779,0.298,0.315,0.147
1680001707761,1181696116373164,0.339,0.423,0.108
1680001707764,1181696118875318,0.353,0.381,0.137
1680001707767,1181696121377472,0.288,0.378,0.11
1680001707771,1181696123879606,0.302,0.458,-0.009
1680001707773,1181696126381760,0.357,0.43,0.032
1680001707776,1181696128883914,0.317,0.348,0.184
1680001707777,1181696131386145,0.303,0.401,0.009
1680001707780,1181696133888217,0.331,0.414,0.051
1680001707782,1181696136390371,0.331,0.358,0.108
1680001707784,1181696138892601,0.36,0.396,0.017
1680001707786,1181696141394678,0.347,0.422,0.101
1680001707792,1181696143896827,0.334,0.258,-0.005
1680001707792,1181696146398981,0.375,0.298,-0.017
1680001707794,1181696148901212,0.362,0.351,-0.029
1680001707796,1181696151403366,0.335,0.418,0.081
1680001707800,1181696153905520,0.376,0.363,0.165
1680001707802,1181696156407658,0.389,0.255,0.177
1680001707804,1181696158909812,0.417,0.268,0.206
1680001707808,1181696161411966,0.403,0.172,0.29
1680001707811,1181696163914351,0.444,0.348,0.237
1680001707813,1181696166416477,0.445,0.238,0.28
1680001707815,1181696168918630,0.445,0.21,0.418
1680001707817,1181696171420784,0.514,0.168,0.38
1680001707822,1181696173922938,0.593,0.334,0.242
1680001707823,1181696176425092,0.552,0.306,0.298
1680001707825,1181696178927313,0.512,0.291,0.369
1680001707827,1181696181429467,0.54,0.181,0.399
1680001707830,1181696183931620,0.527,0.261,0.36
1680001707833,1181696186433774,0.528,0.246,0.24
1680001707835,1181696188935846,0.447,0.19,0.243
1680001707837,1181696191438000,0.579,0.195,0.293
1680001707841,1181696193940231,0.471,0.194,0.213
1680001707842,1181696196442615,0.513,0.342,0.229
1680001707845,1181696198944529,0.514,0.272,0.217
1680001707848,1181696201446682,0.46,0.284,0.097
1680001707851,1181696203948836,0.434,0.214,0.303
1680001707853,1181696206451221,0.544,0.239,0.223
1680001707855,1181696208953144,0.49,0.335,0.261
1680001707857,1181696211455529,0.492,0.388,0.316
1680001707860,1181696213957682,0.466,0.236,0.222
1680001707862,1181696216459836,0.44,0.289,0.21
1680001707864,1181696218961990,0.455,0.314,0.144
1680001707867,1181696221464135,0.443,0.352,0.132
1680001707870,1181696223966289,0.363,0.323,0.01
1680001707872,1181696226468443,0.406,0.388,0.12
