system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679931077862,1111066214660948,0.376526,-0.127257,-0.473089,0.786269
1679931077865,1111066217163102,0.376517,-0.127263,-0.47322,0.786193
1679931077867,1111066219665256,0.376435,-0.127392,-0.473303,0.786162
1679931077869,1111066222167333,0.376351,-0.127533,-0.47338,0.786133
1679931077871,1111066224669486,0.376269,-0.127673,-0.473458,0.786102
1679931077874,1111066227171659,0.376194,-0.127812,-0.473534,0.78607
1679931077876,1111066229673582,0.376123,-0.127949,-0.473609,0.786037
1679931077878,1111066232175967,0.376055,-0.128083,-0.473675,0.786008
1679931077881,1111066234678121,0.376039,-0.12841,-0.473649,0.785977
1679931077884,1111066237180054,0.37599,-0.128559,-0.473701,0.785945
1679931077885,1111066239682208,0.375943,-0.128678,-0.473755,0.785916
1679931077888,1111066242184362,0.3759,-0.128792,-0.473806,0.785887
1679931077891,1111066244686439,0.375862,-0.128899,-0.473853,0.785859
1679931077896,1111066247188587,0.375826,-0.129003,-0.473899,0.785831
1679931077898,1111066249690818,0.375795,-0.129096,-0.473936,0.785809
1679931077900,1111066252192972,0.37584,-0.129842,-0.473685,0.785816
1679931077902,1111066254695049,0.375834,-0.129991,-0.473688,0.785792
1679931077905,1111066257197198,0.375822,-0.130075,-0.473714,0.785768
1679931077907,1111066259699352,0.375809,-0.130147,-0.47374,0.785747
1679931077909,1111066262201275,0.3758,-0.130219,-0.473767,0.785723
1679931077910,1111066264703659,0.375791,-0.13029,-0.473791,0.785701
1679931077915,1111066267205813,0.375784,-0.130354,-0.473815,0.785679
1679931077937,1111066269707933,0.375842,-0.130885,-0.473631,0.785674
1679931077941,1111066272209856,0.375841,-0.130995,-0.473631,0.785656
1679931077942,1111066274712010,0.375836,-0.131056,-0.473649,0.785637
1679931077944,1111066277214164,0.375827,-0.13111,-0.473668,0.785621
1679931077944,1111066279716328,0.375816,-0.131161,-0.473685,0.785608
1679931077944,1111066282218482,0.375803,-0.131211,-0.4737,0.785597
1679931077944,1111066284720635,0.375789,-0.131258,-0.473713,0.785588
1679931077945,1111066287222789,0.375684,-0.131887,-0.473482,0.785672
1679931077945,1111066289724929,0.375662,-0.131983,-0.47347,0.785674
1679931077945,1111066292227006,0.375645,-0.132025,-0.473477,0.78567
1679931077945,1111066294729160,0.375627,-0.132055,-0.473488,0.785667
1679931077945,1111066297231314,0.37561,-0.132077,-0.473499,0.785665
1679931077947,1111066299733453,0.375595,-0.132093,-0.473504,0.785667
1679931077947,1111066302235376,0.375581,-0.132107,-0.473507,0.785669
1679931077950,1111066304737530,0.3755,-0.132673,-0.47328,0.785749
1679931077953,1111066307239683,0.375478,-0.132739,-0.473255,0.785763
1679931077954,1111066309741837,0.375463,-0.132746,-0.473255,0.78577
1679931077957,1111066312243996,0.37545,-0.132741,-0.473255,0.785777
1679931077960,1111066314746150,0.375439,-0.132733,-0.473254,0.785784
1679931077963,1111066317248304,0.375425,-0.132726,-0.47325,0.785794
1679931077966,1111066319750381,0.375413,-0.132715,-0.473245,0.785805
1679931077967,1111066322252525,0.375453,-0.13301,-0.4731,0.785823
1679931077970,1111066324754755,0.375448,-0.133019,-0.47308,0.785837
1679931077976,1111066327256909,0.375439,-0.132997,-0.473068,0.785852
1679931077979,1111066329757963,0.375435,-0.132967,-0.473053,0.785868
1679931077979,1111066332259002,0.375436,-0.13293,-0.473034,0.785885
1679931077980,1111066334763309,0.375436,-0.132892,-0.473013,0.785904
1679931077983,1111066337265463,0.375442,-0.132846,-0.472988,0.785924
1679931077985,1111066339767386,0.375405,-0.133118,-0.472826,0.785993
1679931077987,1111066342269770,0.375415,-0.133098,-0.472782,0.786018
1679931077990,1111066344771928,0.375433,-0.133047,-0.472748,0.786038
1679931077993,1111066347273851,0.375455,-0.132988,-0.472712,0.78606
1679931077995,1111066349776005,0.375488,-0.13292,-0.47267,0.78608
1679931077998,1111066352278159,0.375524,-0.132852,-0.472628,0.7861
1679931078000,1111066354780313,0.375565,-0.13278,-0.472582,0.78612
1679931078003,1111066357282390,0.375625,-0.132912,-0.472443,0.786153
1679931078005,1111066359784621,0.375679,-0.132858,-0.472378,0.786175
1679931078007,1111066362286775,0.37574,-0.132781,-0.472317,0.786196
1679931078011,1111066364788861,0.375804,-0.132698,-0.472254,0.786217
1679931078015,1111066367291015,0.375871,-0.132614,-0.472185,0.786241
1679931078016,1111066369793169,0.375943,-0.132533,-0.472113,0.786263
